,ip,nb_www,phish_hints,nb_hyperlinks,domain_in_title,domain_age,google_index,page_rank,digit_ratio_url,digit_ratio_hostname
9160,0,0,0,0,1,3633,1,0,0.0,0.0
8979,0,0,0,22,1,5627,1,5,0.02564102564102564,0.02564102564102564
8169,0,0,0,328,0,7133,0,7,0.0,0.0
3016,0,0,0,74,1,9557,0,7,0.1388888888888889,0.1388888888888889
2063,0,0,0,8,0,1336,0,6,0.11538461538461539,0.11538461538461539
3990,0,0,0,10,1,-2,1,0,0.0,0.0
7520,0,1,0,52,1,-1,0,1,0.0,0.0
5058,0,1,0,38,1,8880,1,5,0.0673076923076923,0.0673076923076923
2964,0,1,0,0,1,8658,0,4,0.0,0.0
2277,1,0,0,0,1,5804,1,2,0.14130434782608695,0.14130434782608695
9850,0,1,0,0,1,-1,0,6,0.0,0.0
7011,0,1,1,0,1,8415,1,2,0.05555555555555555,0.05555555555555555
279,0,0,0,26,1,8019,1,4,0.1282051282051282,0.1282051282051282
7740,0,1,0,454,0,3289,0,3,0.0,0.0
9057,0,1,0,202,0,8836,0,5,0.0,0.0
4667,0,0,0,22,1,5626,1,5,0.09259259259259259,0.09259259259259259
7349,0,1,0,73,1,4582,0,4,0.10714285714285714,0.10714285714285714
3131,0,1,0,37,0,8184,0,3,0.0,0.0
1481,0,0,0,149,1,496,1,0,0.23076923076923078,0.23076923076923078
4728,0,1,1,0,1,6878,0,6,0.05714285714285714,0.05714285714285714
1486,0,1,1,0,1,3972,1,0,0.044444444444444446,0.044444444444444446
951,0,1,0,54,1,6646,0,4,0.0,0.0
3601,0,0,0,0,1,4623,1,3,0.0,0.0
1172,0,0,0,0,1,-1,1,2,0.0967741935483871,0.0967741935483871
1960,0,0,0,24,0,662,1,2,0.1111111111111111,0.1111111111111111
4478,0,1,0,23,1,2795,0,3,0.0,0.0
11143,0,1,0,99,0,9205,0,6,0.0,0.0
6716,0,0,0,11,1,672,1,3,0.04,0.04
8265,0,0,0,21,1,5616,1,5,0.017543859649122806,0.017543859649122806
10871,0,0,0,14,1,7295,1,5,0.030303030303030304,0.030303030303030304
164,0,0,0,72,0,6431,1,5,0.05405405405405406,0.05405405405405406
6102,0,0,0,27,1,5,1,0,0.0,0.0
684,0,0,0,22,1,5627,1,5,0.0,0.0
7480,1,0,0,286,1,4687,1,0,0.1935483870967742,0.1935483870967742
2394,0,1,0,9,1,7142,0,3,0.012987012987012988,0.012987012987012988
3246,0,1,0,99,1,8614,0,5,0.0,0.0
11396,0,0,0,265,0,7131,1,7,0.09090909090909091,0.09090909090909091
3707,0,0,1,33,1,31,1,0,0.018867924528301886,0.018867924528301886
3823,0,0,0,300,0,954,0,2,0.0,0.0
6604,0,0,0,58,0,-1,0,2,0.0,0.0
6617,0,1,0,307,1,6259,0,6,0.0,0.0
7251,0,0,2,8,1,295,1,0,0.0,0.0
4979,0,0,0,29,1,54,1,0,0.0,0.0
8477,0,1,0,17,1,3978,0,2,0.0,0.0
138,0,1,0,64,1,3754,0,4,0.0,0.0
6291,1,1,0,128,0,8759,1,5,0.07291666666666667,0.07291666666666667
4245,0,0,0,0,1,3360,1,2,0.0,0.0
9838,0,1,0,0,1,11909,1,5,0.11627906976744186,0.11627906976744186
8988,0,1,1,29,1,3327,1,1,0.0,0.0
1349,0,1,0,96,1,6679,0,6,0.031746031746031744,0.031746031746031744
8071,0,0,0,0,1,-1,1,1,0.0,0.0
1069,0,1,0,117,0,8579,0,3,0.0,0.0
8261,0,1,0,6,1,3027,0,2,0.0,0.0
3911,0,1,1,45,1,2114,1,1,0.08333333333333333,0.08333333333333333
1377,0,0,0,7,1,2563,1,0,0.0851063829787234,0.0851063829787234
3373,0,0,0,0,1,8354,1,2,0.0,0.0
4777,0,1,1,147,1,590,1,2,0.0,0.0
