,status
9160,0
8979,0
8169,1
3016,1
2063,0
3990,0
7520,1
5058,1
2964,1
2277,0
9850,1
7011,0
279,0
7740,1
9057,1
4667,0
7349,1
3131,1
1481,0
4728,1
1486,0
951,1
3601,0
1172,0
1960,0
4478,1
11143,1
6716,0
8265,0
10871,0
164,1
6102,0
684,0
7480,0
2394,1
3246,1
11396,1
3707,0
3823,1
6604,1
6617,1
7251,0
4979,0
8477,1
138,1
6291,1
4245,0
9838,1
8988,0
1349,1
8071,0
1069,1
8261,1
3911,0
1377,0
3373,0
4777,0
10597,0
1105,1
6299,1
1499,0
2743,0
6477,0
1812,1
2608,1
9017,0
1649,0
2610,0
2366,0
1908,0
8878,0
6605,1
10221,1
10262,0
2692,1
64,0
4834,1
7279,1
3011,0
9963,1
6614,1
1718,0
7871,1
3092,1
2816,1
8825,0
5801,1
7262,0
1536,0
1841,1
8888,1
9989,0
2689,1
2127,1
693,0
4716,1
4418,1
955,1
5531,1
1497,0
10519,0
8558,1
538,0
10438,1
9681,1
3394,0
9166,0
1260,0
3279,1
5408,0
3748,0
2970,1
2476,1
9921,1
5225,0
3709,1
11090,1
10927,0
811,0
6285,0
824,1
10766,0
3042,0
5496,1
8035,0
588,1
8986,1
5491,1
6871,0
8051,1
8755,1
7334,1
8431,1
2429,1
6027,0
10460,1
1019,0
1824,0
10204,1
6191,1
10625,1
10483,1
4304,0
4964,0
10087,0
1585,1
2475,0
4968,0
5240,0
448,0
9588,1
8763,1
8657,1
2992,1
3171,0
6236,0
8757,1
2218,1
11017,1
1634,0
1686,0
11,1
5140,0
7071,0
5139,0
7629,0
17,0
6171,1
467,1
9908,1
321,1
8403,1
4412,0
5679,1
10858,0
6906,0
5223,0
7943,0
8151,1
5347,1
4273,1
4220,1
6715,0
11221,1
8923,1
5911,0
6649,0
5755,1
887,0
9524,0
3828,0
9424,1
6526,1
2359,1
5245,0
676,1
10670,0
10957,1
950,0
5376,1
6023,1
5754,0
6316,1
8526,1
10686,1
2937,1
3087,1
861,0
8677,0
9358,0
6869,1
7858,1
4372,1
3318,0
5920,0
176,0
3100,1
4405,1
9612,1
6791,0
3372,0
4256,1
9391,1
8168,1
10573,1
7916,0
4609,1
7347,1
1097,1
10371,1
9834,0
4308,0
5135,0
10236,1
3826,0
9095,0
4447,0
4222,0
8534,0
3641,1
5732,1
4863,1
977,0
8260,0
9366,0
7054,1
7233,0
5506,1
8175,0
856,1
9816,1
5717,1
4959,0
6597,0
2270,1
8185,0
7761,1
8715,0
6860,1
1867,0
2231,1
4921,1
2125,0
8804,1
6288,1
10392,1
4809,0
10539,1
5718,0
5585,1
11323,0
3628,1
6820,0
2088,1
957,1
2428,0
11073,1
1174,0
4505,1
4881,1
11269,0
3893,0
8007,0
921,0
754,1
6921,0
9745,1
10646,1
5008,1
8319,1
3200,1
2548,1
4052,1
5973,0
6021,1
1763,1
10326,0
3143,1
3891,0
6745,1
3273,0
7851,1
1622,0
8422,1
1115,1
2750,1
4247,0
9040,0
4971,1
10304,0
1760,0
1618,1
8882,0
4351,1
7980,1
4934,1
3943,1
774,0
7992,1
4152,0
536,1
5178,0
511,0
9172,1
4930,0
1285,1
651,1
